"kildefil","rutemonster","foreslatt-flate","legacy-gruppe","mulig-videresending","krever-rutevurdering","designstatus","tilgangsstatus"
"src/app/(internal)/demos/newplan/[steg]/page.tsx","/demos/newplan/[steg]","interne-eksempler","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(internal)/demos/ny-okt/[steg]/page.tsx","/demos/ny-okt/[steg]","interne-eksempler","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(internal)/demos/plan-bygger/[steg]/page.tsx","/demos/plan-bygger/[steg]","interne-eksempler","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(internal)/demos/plan-bygger/page.tsx","/demos/plan-bygger","interne-eksempler","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(internal)/demos/trackman-import/[steg]/page.tsx","/demos/trackman-import/[steg]","interne-eksempler","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(internal)/design-system/page.tsx","/design-system","interne-eksempler","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/anlegg/[slug]/page.tsx","/anlegg/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/anlegg/page.tsx","/anlegg","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/blogg/[slug]/page.tsx","/blogg/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/blogg/page.tsx","/blogg","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/booking/[slug]/bekreft/page.tsx","/booking/[slug]/bekreft","offentlig-booking","false","true","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/booking/[slug]/page.tsx","/booking/[slug]","offentlig-booking","false","true","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/booking/kvittering/[bookingId]/page.tsx","/booking/kvittering/[bookingId]","offentlig-booking","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/booking/page.tsx","/booking","offentlig-booking","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/cases/page.tsx","/cases","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/coacher/[slug]/page.tsx","/coacher/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/coacher/page.tsx","/coacher","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/coaching/page.tsx","/coaching","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/cookies/page.tsx","/cookies","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/faq/page.tsx","/faq","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/forside-ak/page.tsx","/forside-ak","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/jobb/page.tsx","/jobb","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/junior/page.tsx","/junior","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/kontakt/page.tsx","/kontakt","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/mulligan/page.tsx","/mulligan","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/om-oss/page.tsx","/om-oss","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/page.tsx","/","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/personvern/page.tsx","/personvern","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/playerhq/page.tsx","/playerhq","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/priser/page.tsx","/priser","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/2026/page.tsx","/stats/2026","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/aargang/[aar]/page.tsx","/stats/aargang/[aar]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/aargang/page.tsx","/stats/aargang","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/baner/[slug]/page.tsx","/stats/baner/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/baner/page.tsx","/stats/baner","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/blogg/[slug]/page.tsx","/stats/blogg/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/blogg/page.tsx","/stats/blogg","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/klubber/[slug]/page.tsx","/stats/klubber/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/klubber/page.tsx","/stats/klubber","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/leaderboards/page.tsx","/stats/leaderboards","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/min-progresjon/page.tsx","/stats/min-progresjon","marked-og-offentlig","false","true","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/norske/page.tsx","/stats/norske","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/page.tsx","/stats","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/drive-distance/page.tsx","/stats/pga/drive-distance","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/fairway-pct/page.tsx","/stats/pga/fairway-pct","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/gir-pct/page.tsx","/stats/pga/gir-pct","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/page.tsx","/stats/pga","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/putt-explorer/page.tsx","/stats/pga/putt-explorer","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/putts-per-round/page.tsx","/stats/pga/putts-per-round","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/scoring-avg/page.tsx","/stats/pga/scoring-avg","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/sg-total/page.tsx","/stats/pga/sg-total","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/spillere/[dg_id]/page.tsx","/stats/pga/spillere/[dg_id]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/pga/spillere/page.tsx","/stats/pga/spillere","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/quiz/page.tsx","/stats/quiz","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/regions/[slug]/page.tsx","/stats/regions/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/regions/page.tsx","/stats/regions","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/sammenlign-spillere/page.tsx","/stats/sammenlign-spillere","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/sg-sammenlign/page.tsx","/stats/sg-sammenlign","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/sg-sammenlign/resultat/[id]/page.tsx","/stats/sg-sammenlign/resultat/[id]","marked-og-offentlig","false","true","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/sg-sammenlign/start/page.tsx","/stats/sg-sammenlign/start","marked-og-offentlig","false","true","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/sok/page.tsx","/stats/sok","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/spillere/[slug]/page.tsx","/stats/spillere/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/spillere/page.tsx","/stats/spillere","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/tour/[slug]/page.tsx","/stats/tour/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/turneringer/[slug]/page.tsx","/stats/turneringer/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/turneringer/[slug]/statistikk/page.tsx","/stats/turneringer/[slug]/statistikk","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/turneringer/page.tsx","/stats/turneringer","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/uka/page.tsx","/stats/uka","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/verktoy/avstand/page.tsx","/stats/verktoy/avstand","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/verktoy/page.tsx","/stats/verktoy","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/verktoy/score-til-hcp/page.tsx","/stats/verktoy/score-til-hcp","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/verktoy/sg-estimator/page.tsx","/stats/verktoy/sg-estimator","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/verktoy/tour-ekvivalent/page.tsx","/stats/verktoy/tour-ekvivalent","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/verktoy/whs-kalkulator/page.tsx","/stats/verktoy/whs-kalkulator","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/stats/wrapped/[slug]/page.tsx","/stats/wrapped/[slug]","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/suksess/page.tsx","/suksess","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/treningsfilosofi/page.tsx","/treningsfilosofi","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/turneringer/[slug]/page.tsx","/turneringer/[slug]","marked-og-offentlig","false","true","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/turneringer/page.tsx","/turneringer","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/(marketing)/vilkar/page.tsx","/vilkar","marked-og-offentlig","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/admin/(fullscreen)/agencyos/live/[sessionId]/page.tsx","/admin/agencyos/live/[sessionId]","agencyos","false","false","false","ikke-vurdert","ikke-verifisert"
"src/app/admin/(fullscreen)/agencyos/live/page.tsx","/admin/agencyos/live","agencyos","false","false","false","ikke-vurdert","ikke-verifisert"
